OCCUPATION,SIZE_BAND,N,POSITIVE_SHARE
first-line supervisors of sales workers,large_5001_plus,20843,0.161445
market research analysts and marketing specialists,large_5001_plus,13213,0.145917
computer and information analysts,small_1_50,7311,0.122008
"math and computer science teachers, postsecondary",large_5001_plus,10900,0.255321
laborers and material movers,small_1_50,3512,0.139237
emergency medical technicians and paramedics,small_1_50,2014,0.331182
"meeting, convention, and event planners",large_5001_plus,3642,0.145799
retail salespersons,small_1_50,3437,0.187955
bartenders,small_1_50,5094,0.167452
"health teachers, postsecondary",small_1_50,6148,0.377033
procurement clerks,large_5001_plus,4941,0.095932
occupational health and safety specialists and technicians,large_5001_plus,2919,0.303186
miscellaneous protective service workers,large_5001_plus,2457,0.202686
miscellaneous sales and related workers,small_1_50,2096,0.334924
home health and personal care aides,small_1_50,2352,0.350765
aircraft mechanics and service technicians,large_5001_plus,2755,0.067877
"meter readers, utilities",large_5001_plus,2712,0.088864
sales engineers,small_1_50,3777,0.072544
designers,small_1_50,16446,0.142284
miscellaneous social scientists and related workers,small_1_50,4461,0.308003
miscellaneous financial specialists,large_5001_plus,4142,0.137856
education and childcare administrators,large_5001_plus,5428,0.347273
social science research assistants,small_1_50,5047,0.271250
first-line supervisors of sales workers,small_1_50,6549,0.161704
tutors,small_1_50,3060,0.397712
miscellaneous healthcare diagnosing or treating practitioners,large_5001_plus,2684,0.334575
"math and computer science teachers, postsecondary",small_1_50,7689,0.288074
"adult basic education, adult secondary education, and english as a second language instructors",small_1_50,4230,0.434515
telemarketers,large_5001_plus,2050,0.162927
therapists,small_1_50,16293,0.503959
chief executives,small_1_50,915871,0.280812
secretaries and administrative assistants,large_5001_plus,62368,0.177351
social workers,large_5001_plus,7417,0.546043
marketing and sales managers,small_1_50,161109,0.158278
financial analysts and advisors,large_5001_plus,93007,0.224144
"transportation, storage, and distribution managers",large_5001_plus,45634,0.104878
public relations and fundraising managers,small_1_50,22369,0.310519
artists and related workers,small_1_50,34740,0.122510
training and development specialists,large_5001_plus,6448,0.282878
logisticians and project management specialists,large_5001_plus,24362,0.105164
first-line supervisors of office and administrative support workers,small_1_50,9540,0.218134
"engineering technologists and technicians, except drafters",large_5001_plus,46881,0.111900
pharmacists,small_1_50,2931,0.455817
psychologists,small_1_50,14942,0.558091
"physical sciences teachers, postsecondary",large_5001_plus,9285,0.241465
"eligibility interviewers, government programs",large_5001_plus,2206,0.272892
training and development managers,small_1_50,10972,0.421163
"actors, producers, and directors",large_5001_plus,11683,0.221604
psychologists,large_5001_plus,4689,0.489230
first-line supervisors of transportation and material moving workers,large_5001_plus,8312,0.134143
environmental scientists and geoscientists,large_5001_plus,3441,0.190933
special education teachers,large_5001_plus,5592,0.491416
"miscellaneous life, physical, and social science technicians",large_5001_plus,3848,0.135655
ship and boat captains and operators,large_5001_plus,2388,0.151591
purchasing managers,small_1_50,4396,0.098954
"property, real estate, and community association managers",large_5001_plus,6234,0.155759
miscellaneous social scientists and related workers,large_5001_plus,6880,0.208721
insurance claims and policy processing clerks,large_5001_plus,3410,0.180352
general and operations managers,small_1_50,143117,0.190662
miscellaneous business operations specialists,large_5001_plus,12902,0.150597
credit counselors and loan officers,large_5001_plus,14456,0.164638
diagnostic related technologists and technicians,large_5001_plus,7290,0.310151
"property, real estate, and community association managers",small_1_50,10611,0.164075
compliance officers,large_5001_plus,10061,0.142034
miscellaneous healthcare support occupations,large_5001_plus,12524,0.328250
computer hardware engineers,large_5001_plus,7097,0.066507
conservation scientists and foresters,large_5001_plus,2031,0.260955
electricians,small_1_50,2164,0.077634
driver/sales workers and truck drivers,large_5001_plus,7520,0.128191
